nombre,nivel,ataque,defensa,estamina,iv_ataque,iv_defensa,iv_estamina,PC
Ariados,28.0,161,124,172,11,2,12,1308
Koffing,9.0,119,141,120,2,6,14,271
Electabuzz,21.5,198,158,163,13,13,13,1404
Cyndaquil,34.5,116,93,118,7,12,15,836
Chingling,15.5,114,94,128,6,0,7,373
Octillery,18.5,197,141,181,15,6,12,1178
Skuntank,36.5,184,132,230,0,6,6,1970
Banette,11.0,218,126,162,14,4,3,667
Qwilfish,39.5,184,138,163,2,3,13,1816
Breloom,8.0,241,144,155,0,15,7,544
Seedot,16.5,71,77,120,0,5,11,216
Bellsprout,23.0,139,61,137,2,4,4,554
Yanma,31.0,154,94,163,1,7,13,1124
Shedinja,2.0,153,73,1,4,0,4,8
Croconaw,19.0,150,142,163,13,13,10,904
Weezing,11.0,174,197,163,1,15,3,644
Luvdisc,18.0,81,128,125,15,2,14,414
Aerodactyl,24.0,221,159,190,13,13,5,1835
Floatzel,17.0,221,114,198,4,6,3,1060
Lotad,12.0,71,77,120,4,9,11,170
Dusknoir,28.5,180,254,128,14,6,3,1820
Lucario,19.0,236,144,172,2,15,15,1391
Whiscash,14.5,151,141,242,12,11,1,810
Jigglypuff,37.0,80,41,251,10,1,9,562
Chansey,33.5,60,128,487,12,7,12,1058
Spinda,30.0,116,116,155,13,13,12,1013
Deoxys,32.5,345,115,137,2,2,0,2450
Roselia,42.0,186,131,137,7,8,5,1736
Cyndaquil,31.0,116,93,118,1,0,2,672
Xatu,1.5,192,146,163,14,4,5,59
Alolan,41.0,158,136,163,14,7,4,1681
Hariyama,28.5,209,114,302,0,11,0,2065
Kingdra,15.5,194,194,181,1,9,14,1073
Sentret,18.5,79,73,111,4,14,4,274
Houndoom,10.0,224,144,181,13,6,1,699
Uxie,34.0,156,270,181,15,14,8,2262
Geodude,35.0,132,132,120,15,0,3,1086
Krabby,22.0,181,124,102,12,7,13,929
Infernape,13.5,222,151,183,5,12,0,944
Remoraid,17.0,127,69,111,1,0,4,345
Charmander,2.5,116,93,118,6,6,7,50
Cacturne,20.5,221,115,172,1,14,11,1247
Zangoose,44.0,222,124,177,15,6,8,2413
Drifblim,18.5,180,102,312,5,7,7,1138
Gliscor,30.5,185,222,181,8,4,15,2192
Skorupi,29.0,93,151,120,1,15,5,700
Ledian,25.5,107,179,146,0,0,15,826
Drifloon,29.5,117,80,207,12,10,15,959
Steelix,3.0,148,272,181,9,10,7,168
Charmeleon,14.5,158,126,151,12,12,0,635
Heracross,5.0,234,179,190,14,9,10,405
Tropius,39.5,136,163,223,13,12,1,1829
Bagon,42.0,134,93,128,4,7,10,1038
Groudon,10.0,270,228,205,11,6,13,1132
Alolan,44.0,109,82,67,7,7,12,638
Alolan,33.0,190,172,233,9,2,7,2286
Mr.,4.5,192,205,120,1,5,9,237
Gabite,38.5,172,125,169,3,0,7,1586
Gligar,35.0,143,184,163,12,15,11,1672
Cradily,20.5,152,194,200,2,1,2,1118
Duskull,4.0,70,162,85,4,11,13,63
Krabby,14.0,181,124,102,7,14,7,576
Clefairy,43.0,107,108,172,13,12,9,1146
Cubone,15.0,90,144,137,4,15,10,384
Giratina,31.5,225,187,284,4,12,15,3065
Poliwag,9.5,101,82,120,4,2,8,184
Smeargle,29.5,40,83,146,12,3,3,309
Burmy,6.0,53,83,120,13,5,3,70
Nidoking,30.5,204,156,191,15,0,13,2109
Misdreavus,22.5,167,154,155,15,6,0,1150
Jynx,31.5,223,151,163,1,12,12,2076
Garchomp,15.0,261,193,239,7,8,8,1598
Alolan,3.0,103,70,102,1,14,3,45
Numel,29.0,119,79,155,8,4,12,773
Combusken,42.0,163,115,155,7,12,8,1566
Chikorita,32.5,92,122,128,12,11,5,771
Slowbro,16.0,177,180,216,5,9,9,1071
Linoone,10.5,142,128,186,14,11,4,475
Zapdos,39.5,253,185,207,0,6,5,3157
Abra,39.5,195,82,93,14,5,15,1256
Camerupt,35.5,194,136,172,11,0,5,1858
Alolan,11.5,164,164,146,3,6,3,545
Abra,16.5,195,82,93,8,0,13,557
Misdreavus,30.0,167,154,155,3,13,1,1469
Porygon,17.0,153,136,163,9,3,7,755
Jynx,24.0,223,151,163,12,12,8,1680
Ampharos,38.0,211,169,207,15,5,2,2614
Mankey,18.0,148,82,120,7,3,3,509
Regirock,15.0,179,309,190,5,4,2,1207
Anorith,18.5,176,100,128,15,15,4,776
Lombre,18.5,112,119,155,7,3,4,547
Venusaur,8.0,198,189,190,8,7,0,559
Chimecho,33.5,175,170,181,0,6,2,1779
Luxio,17.0,159,95,155,3,7,14,645
Alolan,44.0,132,132,120,0,0,1,1095
Baltoy,4.0,77,124,120,0,14,12,67
Monferno,32.0,158,105,162,3,13,10,1268
Clamperl,3.0,133,135,111,0,3,4,77
Magmortar,44.0,247,172,181,6,9,4,3039
Flaaffy,23.0,145,109,172,6,7,10,900
Elekid,10.0,135,101,128,3,12,2,298
Magneton,23.5,223,169,137,14,4,5,1557
Skarmory,18.5,148,226,163,5,8,9,1013
Squirtle,9.0,94,121,127,7,3,15,213
Gastly,15.5,186,67,102,6,5,7,470
Shelgon,28.5,172,155,163,3,15,12,1535
Caterpie,22.0,55,55,128,2,9,14,213
Onix,33.0,85,232,111,13,0,14,938
Hitmontop,31.5,173,207,137,6,6,3,1696
Donphan,4.0,214,185,207,13,4,9,299
Roselia,14.0,186,131,137,12,9,5,697
Dusclops,32.0,124,234,120,11,3,3,1275
Dusclops,29.0,124,234,120,14,6,11,1266
Alolan,30.5,144,186,155,13,3,2,1459
Vigoroth,16.0,159,145,190,3,9,9,809
Alolan,17.5,103,70,102,15,2,12,333
Butterfree,22.5,167,137,155,9,9,3,1073
Feraligatr,9.0,205,188,198,7,3,1,659
Alolan,5.5,201,154,155,9,10,4,317
Mantyke,5.0,105,179,128,9,5,2,148
Sandslash,6.5,182,175,181,15,6,4,405
Granbull,6.5,212,131,207,0,1,2,396
Dewgong,11.0,139,177,207,6,14,3,570
Farfetch'd,12.0,124,115,141,10,8,14,396
Golem,28.0,211,198,190,3,11,9,2180
Heatran,35.0,251,213,209,9,1,1,3196
Latias,11.0,228,246,190,15,1,8,1055
Carnivine,24.5,187,136,179,14,10,14,1475
Azurill,23.0,36,71,137,10,13,7,207
Paras,24.0,121,99,111,11,2,11,627
Teddiursa,30.5,142,93,155,15,15,15,1148
Magmortar,13.0,247,172,181,0,14,3,1060
Moltres,8.5,251,181,207,0,11,2,755
Elekid,16.5,135,101,128,2,12,15,512
Gardevoir,32.0,237,195,169,7,14,7,2588
Alolan,10.5,230,153,216,13,5,9,858
Empoleon,38.0,210,186,197,15,1,2,2633
Arbok,1.0,167,153,155,13,13,4,25
Poliwrath,39.5,182,184,207,4,2,5,2290
Gliscor,6.0,185,222,181,14,7,12,431
Dunsparce,23.0,131,128,225,8,0,6,981
Gastly,19.5,186,67,102,9,15,14,661
Articuno,22.5,192,236,207,13,5,9,1877
Slugma,31.5,118,71,120,2,14,3,673
Whiscash,24.0,151,141,242,5,7,8,1285
Pidgey,26.0,85,73,120,4,12,2,420
Wigglytuff,37.0,156,90,295,12,0,9,1661
Ariados,11.0,161,124,172,9,13,14,532
Lickilicky,25.0,161,181,242,5,7,14,1624
Buizel,2.5,132,67,146,6,1,12,53
Donphan,20.5,214,185,207,5,12,7,1644
Xatu,38.5,192,146,163,4,12,12,1991
Mismagius,15.5,211,187,155,15,11,3,1105
Dusknoir,18.5,180,254,128,1,4,11,1131
Yanma,40.0,154,94,163,7,13,7,1356
Moltres,9.0,251,181,207,9,6,9,834
Snorlax,5.0,190,169,330,14,7,7,418
Mew,2.0,210,210,225,3,15,5,134
Hariyama,23.0,209,114,302,9,2,10,1702
Ledian,20.0,107,179,146,14,1,15,735
Clefable,31.0,178,162,216,5,2,15,1938
Alakazam,34.0,271,167,146,11,13,14,2732
Seel,44.0,85,121,163,9,11,5,919
Rayquaza,18.5,284,170,213,5,5,13,1897
Koffing,18.5,119,141,120,4,14,7,569
Alolan,3.0,170,193,177,0,15,3,153
Psyduck,25.0,122,95,137,2,3,0,641
Vibrava,10.0,134,99,137,13,9,13,333
Alolan,24.0,164,164,146,3,6,3,1138
Wynaut,40.0,41,86,216,0,13,6,379
Toxicroak,44.0,211,133,195,8,3,9,2395
Jolteon,33.5,232,182,163,14,6,7,2491
Cascoon,18.5,60,77,137,6,7,12,243
Empoleon,12.5,210,186,197,0,5,4,917
Combusken,10.0,163,115,155,1,14,0,413
Metang,6.5,138,176,155,5,6,11,279
Hoothoot,11.5,67,88,155,1,8,0,170
Snorlax,25.0,190,169,330,13,11,5,2223
Jirachi,40.0,210,210,225,15,13,9,3210
Koffing,9.0,119,141,120,12,15,9,296
Gallade,10.5,237,195,169,5,15,5,867
Nidoran?,29.0,86,89,146,15,12,5,645
Hypno,30.0,144,193,198,3,3,13,1600
Quilava,24.0,158,126,151,3,6,15,1020
Electivire,9.5,249,163,181,9,7,5,775
Misdreavus,40.0,167,154,155,2,6,8,1704
Dusknoir,13.0,180,254,128,4,3,11,806
Alolan,26.5,109,82,67,12,14,12,498
Larvitar,6.5,115,93,137,1,2,14,156
Wooper,33.5,75,66,146,5,4,0,458
Geodude,31.5,132,132,120,11,4,9,1039
Beedrill,10.5,169,130,163,3,5,7,488
Gardevoir,39.5,237,195,169,12,10,13,2982
Shelgon,2.0,172,155,163,15,2,8,84
Milotic,7.0,192,219,216,4,4,13,540
Buizel,11.0,132,67,146,11,9,14,309
Nidoqueen,20.5,180,173,207,9,3,7,1341
Manaphy,18.5,210,210,225,0,13,1,1556
Nidoran?,29.0,86,89,146,0,13,2,546
Raichu,16.5,193,151,155,11,12,14,996
Prinplup,14.5,150,139,162,8,5,8,639
Sandshrew,25.5,126,120,137,9,8,6,831
Glameow,32.5,109,82,135,1,15,8,722
Paras,24.5,121,99,111,14,15,3,672
Nidorino,42.0,137,111,156,14,12,10,1381
Raikou,37.5,241,195,207,15,5,2,3152
Lileep,4.5,105,150,165,7,15,1,138
Dugtrio,33.0,167,134,111,1,11,8,1240
Golem,2.5,211,198,190,2,1,1,154
Alolan,22.0,211,198,190,1,13,2,1675
Roserade,14.0,243,185,155,9,13,0,1103
Dialga,8.5,275,211,204,13,8,4,923
Flaaffy,27.0,145,109,172,0,11,9,1029
Glalie,36.5,162,162,190,5,0,3,1752
Magnezone,18.0,238,205,172,10,6,13,1573
Monferno,5.5,158,105,162,6,8,10,214
Wynaut,23.5,41,86,216,0,9,3,248
Chinchou,3.5,106,97,181,6,1,0,83
Regirock,41.0,179,309,190,10,15,15,3080
Omanyte,3.5,155,153,111,15,13,7,133
Skorupi,4.5,93,151,120,4,9,2,101
Lileep,15.5,105,150,165,2,15,14,508
Dialga,17.0,275,211,204,7,8,4,1825
Magikarp,18.0,29,85,85,8,7,3,106
Alolan,43.0,99,78,120,14,9,8,773
Makuhita,1.0,99,54,176,15,4,3,10
Mantyke,37.5,105,179,128,8,6,0,1047
Seedot,29.5,71,77,120,2,1,13,391
Torkoal,3.0,151,203,172,6,2,5,139
Octillery,17.5,197,141,181,9,3,0,1038
Parasect,17.0,165,146,155,3,7,14,819
Dialga,3.0,275,211,204,14,10,10,292
Giratina,18.5,225,187,284,5,13,1,1812
Anorith,14.5,176,100,128,8,2,9,562
Smeargle,1.0,40,83,146,11,15,1,5
Spinda,4.5,116,116,155,14,1,2,131
Venusaur,23.5,198,189,190,6,12,7,1702
Volbeat,15.5,143,166,163,7,14,1,712
Linoone,37.5,142,128,186,11,5,3,1460
Jigglypuff,12.5,80,41,251,3,15,13,225
Armaldo,13.0,222,174,181,15,2,1,984
Wobbuffet,36.0,60,106,382,9,12,7,870
Kingdra,19.5,194,194,181,15,13,5,1427
Noctowl,33.0,145,156,225,1,12,15,1648
Pineco,26.5,108,122,137,9,12,3,757
Venusaur,30.0,198,189,190,9,1,7,2144
Tyrogue,21.5,64,64,111,8,2,0,236
Spoink,12.5,125,122,155,12,3,15,445
Alolan,12.5,158,136,163,9,0,0,554
Igglybuff,5.5,69,32,207,15,10,5,74
Cherrim,15.0,170,153,172,14,10,5,836
Camerupt,26.0,194,136,172,9,2,14,1509
Sudowoodo,1.0,167,176,172,7,15,2,28
Persian,2.5,150,136,163,5,6,12,90
Dragonite,37.0,263,198,209,7,7,8,3404
Steelix,39.0,148,272,181,5,9,15,2210
Parasect,14.5,165,146,155,9,5,3,695
Prinplup,27.5,150,139,162,12,12,15,1299
Wynaut,12.0,41,86,216,5,5,7,140
Riolu,4.0,127,78,120,3,2,2,83
Delibird,20.5,128,90,128,12,3,9,578
Elekid,3.0,135,101,128,15,11,9,86
Roselia,31.5,186,131,137,10,9,11,1548
Alolan,11.0,103,70,102,0,9,5,185
Kecleon,16.5,161,189,155,14,2,8,909
Giratina,8.0,187,225,284,8,15,2,719
Munchlax,36.5,137,117,286,2,10,4,1582
Ambipom,28.5,205,143,181,0,15,11,1816
Natu,17.0,134,89,120,12,13,9,508
Seel,16.5,85,121,163,10,7,6,411
Wailmer,34.5,136,68,277,1,5,11,1143
Finneon,5.5,96,116,135,11,15,2,134
Gastrodon,3.0,169,143,244,11,4,12,162
Gastrodon,37.5,169,143,244,1,3,15,1991
Gengar,13.5,261,149,155,11,5,13,1054
Paras,38.5,121,99,111,13,11,0,904
Lileep,27.5,105,150,165,9,14,11,950
Ledyba,9.0,72,118,120,8,0,2,153
Beedrill,8.5,169,130,163,14,7,8,420
Kirlia,18.5,117,90,116,11,4,4,448
Hoppip,24.5,67,94,111,8,1,12,354
Loudred,38.0,134,81,197,2,10,0,1104
Grimer,38.0,135,90,190,2,8,2,1140
Mime,12.5,125,142,85,13,0,12,361
Jynx,27.5,223,151,163,13,7,2,1870
Luvdisc,7.5,81,128,125,2,13,4,147
Sandshrew,35.0,126,120,137,12,1,14,1081
Whiscash,39.5,151,141,242,6,5,15,1885
Grovyle,22.5,172,120,137,0,3,2,902
Electrode,13.0,173,173,155,4,7,8,703
Caterpie,44.0,55,55,128,12,11,9,418
Spinda,9.0,116,116,155,9,14,11,293
Jirachi,37.0,210,210,225,0,6,9,2822
Swampert,23.0,208,175,225,13,13,0,1865
Ivysaur,8.0,151,143,155,8,11,11,357
Sneasel,30.0,189,146,146,9,15,13,1696
Kangaskhan,8.5,181,165,233,5,2,15,568
Koffing,21.0,119,141,120,11,9,15,693
Abra,29.0,195,82,93,3,6,13,989
Mismagius,22.5,211,187,155,5,15,9,1578
Hippopotas,37.5,124,118,169,9,3,10,1178
Beedrill,17.5,169,130,163,7,15,12,875
Weezing,44.0,174,197,163,6,0,8,2169
Kricketune,31.5,160,100,184,8,15,14,1391
Sandshrew,30.5,126,120,137,10,2,8,976
Victreebel,14.5,207,135,190,0,9,11,911
Sharpedo,1.5,243,83,172,9,1,11,57
Nuzleaf,41.0,134,78,172,9,6,2,1093
Deoxys,10.5,345,115,137,3,12,13,900
Beautifly,4.5,189,98,155,15,2,1,190
Deoxys,14.5,144,330,137,7,6,14,880
Ursaring,22.5,236,144,207,4,9,3,1727
Gorebyss,24.0,211,179,146,1,2,14,1545
Cascoon,4.0,60,77,137,12,0,5,49
Absol,22.5,246,120,163,0,13,0,1454
Burmy,23.5,53,83,120,15,12,0,304
Alolan,9.5,135,90,190,12,11,13,355
Cleffa,13.0,75,79,137,14,7,11,232
Nosepass,35.0,82,215,102,7,10,12,826
Steelix,30.0,148,272,181,5,8,12,1904
Bidoof,10.5,80,73,153,11,14,15,206
Giratina,7.0,225,187,284,1,10,10,663
Mantyke,28.5,105,179,128,15,13,2,964
Carvanha,23.5,171,39,128,5,6,2,564
Scizor,23.5,236,181,172,14,6,5,1907
Qwilfish,30.5,184,138,163,5,5,9,1600
Ursaring,18.0,236,144,207,12,2,14,1430
Magnemite,16.0,165,121,93,15,5,0,556
Ampharos,15.0,211,169,207,2,7,9,1111
Golbat,31.0,161,150,181,12,11,7,1638
Aggron,25.5,198,257,172,10,12,12,2105
Gallade,12.5,237,195,169,6,10,13,1047
Makuhita,15.5,99,54,176,4,7,0,295
Staravia,26.5,142,94,146,11,14,0,908
Hoppip,14.5,67,94,111,9,9,9,218
Beautifly,33.0,189,98,155,4,11,13,1468
Vespiquen,20.0,149,190,172,3,3,7,1008
Drowzee,28.0,89,136,155,7,11,2,728
Ivysaur,28.0,151,143,155,4,8,11,1226
Anorith,22.0,176,100,128,15,5,12,909
Yanmega,16.0,231,156,200,12,15,3,1292
Manaphy,26.0,210,210,225,5,3,8,2222
Latias,4.5,228,246,190,2,6,0,376
Miltank,3.0,157,193,216,5,12,11,162
Abra,39.5,195,82,93,6,7,1,1140
Stunky,31.0,121,90,160,11,1,15,906
Deoxys,30.0,144,330,137,6,7,7,1769
Totodile,40.0,117,109,137,12,10,15,1083
Poochyena,5.0,96,61,111,1,4,14,73
Venomoth,23.5,179,143,172,15,12,11,1370
Exeggcute,43.0,107,125,155,2,3,14,1039
Vileplume,38.0,202,167,181,0,3,2,2161
Staraptor,29.0,234,140,198,14,1,3,2160
Butterfree,42.0,167,137,155,11,13,8,1782
Cleffa,32.5,75,79,137,10,9,14,546
Smeargle,30.5,40,83,146,4,15,10,293
